 2.00000000000000E+0001  0.00000000000000E+0000  0.00000000000000E+0000  2.92800000000000E-0002  3.99999900000000E-0001  4.42200000000000E+0003
 2.20000000000000E+0001  0.00000000000000E+0000  0.00000000000000E+0000  2.98900000000000E-0002  4.00000000000000E-0001  4.48500000000000E+0003
 2.10000000000000E+0001  0.00000000000000E+0000  0.00000000000000E+0000  3.01950000000000E-0002  4.00000000000000E-0001  4.54700000000000E+0003
 2.20000000000000E+0001  0.00000000000000E+0000  0.00000000000000E+0000  3.11100000000000E-0002  3.99999900000000E-0001  4.65700000000000E+0003
 2.40000000000000E+0001  0.00000000000000E+0000  0.00000000000000E+0000  3.17200000000000E-0002  4.00000000000000E-0001  4.76600000000000E+0003
 2.50000000000000E+0001  0.00000000000000E+0000  0.00000000000000E+0000  3.20250000000000E-0002  4.00000000000000E-0001  4.82900000000000E+0003
 2.60000000000000E+0001  0.00000000000000E+0000  0.00000000000000E+0000  3.26350000000000E-0002  4.00000000000000E-0001  4.89100000000000E+0003
 2.60000000000000E+0001  0.00000000000000E+0000  0.00000000000000E+0000  3.29400000000000E-0002  4.00000000000000E-0001  4.95400000000000E+0003
 2.90000000000000E+0001  0.00000000000000E+0000  0.00000000000000E+0000  3.38550000000000E-0002  4.00000000000000E-0001  5.06300000000000E+0003
 2.80000000000000E+0001  0.00000000000000E+0000  0.00000000000000E+0000  3.44650000000000E-0002  4.00000000000000E-0001  5.17200000000000E+0003
 2.80000000000000E+0001  0.00000000000000E+0000  0.00000000000000E+0000  3.47700000000000E-0002  4.00000000000000E-0001  5.23500000000000E+0003
 2.90000000000000E+0001  0.00000000000000E+0000  0.00000000000000E+0000  3.53800000000000E-0002  4.00000000000000E-0001  5.29700000000000E+0003
 2.90000000000000E+0001  0.00000000000000E+0000  0.00000000000000E+0000  3.59900000000000E-0002  4.00000000000000E-0001  5.40700000000000E+0003
 2.90000000000000E+0001  0.00000000000000E+0000  0.00000000000000E+0000  3.66000000000000E-0002  4.00000000000000E-0001  5.50000000000000E+0003
 3.50000000000000E+0001  0.00000000000000E+0000  0.00000000000000E+0000  3.69050000000000E-0002  4.00000000000000E-0001  5.57900000000000E+0003
 3.20000000000000E+0001  0.00000000000000E+0000  0.00000000000000E+0000  3.75150000000000E-0002  4.00000000000000E-0001  5.64100000000000E+0003
 2.80000000000000E+0001  0.00000000000000E+0000  0.00000000000000E+0000  3.78200000000000E-0002  4.00000000000000E-0001  5.70400000000000E+0003
 3.10000000000000E+0001  0.00000000000000E+0000  0.00000000000000E+0000  3.87350000000000E-0002  4.00000000000000E-0001  5.79700000000000E+0003
 3.00000000000000E+0001  0.00000000000000E+0000  0.00000000000000E+0000  3.87350000000000E-0002  4.00000000000000E-0001  5.86000000000000E+0003
 3.10000000000000E+0001  0.00000000000000E+0000  0.00000000000000E+0000  3.96500000000000E-0002  4.00000000000000E-0001  5.98500000000000E+0003
 3.00000000000000E+0001  0.00000000000000E+0000  0.00000000000000E+0000  4.02600000000000E-0002  4.00000000000000E-0001  6.04700000000000E+0003
 3.00000000000000E+0001  0.00000000000000E+0000  0.00000000000000E+0000  4.05650000000000E-0002  4.00000000000000E-0001  6.11000000000000E+0003
 3.20000000000000E+0001  0.00000000000000E+0000  0.00000000000000E+0000  4.11750000000000E-0002  4.00000000000000E-0001  6.20400000000000E+0003
 3.10000000000000E+0001  0.00000000000000E+0000  0.00000000000000E+0000  4.20900000000000E-0002  4.00000000000000E-0001  6.31300000000000E+0003
 3.30000000000000E+0001  0.00000000000000E+0000  0.00000000000000E+0000  4.27000000000000E-0002  4.00000000000000E-0001  6.40700000000000E+0003
 3.00000000000000E+0001  0.00000000000000E+0000  0.00000000000000E+0000  4.33100000000000E-0002  4.00000000000000E-0001  6.51600000000000E+0003
 3.20000000000000E+0001  0.00000000000000E+0000  0.00000000000000E+0000  4.36150000000000E-0002  4.00000000000000E-0001  6.57900000000000E+0003
 3.10000000000000E+0001  0.00000000000000E+0000  0.00000000000000E+0000  4.42250000000000E-0002  4.00000000000000E-0001  6.65700000000000E+0003
 3.10000000000000E+0001  0.00000000000000E+0000  0.00000000000000E+0000  4.48350000000000E-0002  4.00000000000000E-0001  6.76600000000000E+0003
 3.00000000000000E+0001  0.00000000000000E+0000  0.00000000000000E+0000  4.54450000000000E-0002  4.00000000000000E-0001  6.86000000000000E+0003
 3.30000000000000E+0001  0.00000000000000E+0000  0.00000000000000E+0000  4.60550000000000E-0002  4.00000000000000E-0001  6.92200000000000E+0003
 3.20000000000000E+0001  0.00000000000000E+0000  0.00000000000000E+0000  4.63600000000000E-0002  4.00000000000000E-0001  6.98500000000000E+0003
 3.30000000000000E+0001  0.00000000000000E+0000  0.00000000000000E+0000  4.69700000000000E-0002  4.00000000000000E-0001  7.06300000000000E+0003
 3.00000000000000E+0001  0.00000000000000E+0000  0.00000000000000E+0000  4.75800000000000E-0002  4.00000000000000E-0001  7.15700000000000E+0003
 3.20000000000000E+0001  0.00000000000000E+0000  0.00000000000000E+0000  4.81900000000000E-0002  4.00000000000000E-0001  7.26600000000000E+0003
 3.00000000000000E+0001  0.00000000000000E+0000  0.00000000000000E+0000  4.84950000000000E-0002  4.00000000000000E-0001  7.32900000000000E+0003
 3.30000000000000E+0001  0.00000000000000E+0000  0.00000000000000E+0000  4.91050000000000E-0002  4.00000000000000E-0001  7.39100000000000E+0003
 3.10000000000000E+0001  0.00000000000000E+0000  0.00000000000000E+0000  4.94100000000000E-0002  4.00000000000000E-0001  7.45400000000000E+0003
 3.20000000000000E+0001  0.00000000000000E+0000  0.00000000000000E+0000  4.97150000000000E-0002  4.00000000000000E-0001  7.51600000000000E+0003
 3.20000000000000E+0001  0.00000000000000E+0000  0.00000000000000E+0000  5.03250000000000E-0002  4.00000000000000E-0001  7.61000000000000E+0003
 3.30000000000000E+0001  0.00000000000000E+0000  0.00000000000000E+0000  5.09350000000000E-0002  4.00000000000000E-0001  7.67200000000000E+0003
 3.30000000000000E+0001  0.00000000000000E+0000  0.00000000000000E+0000  5.12400000000000E-0002  4.00000000000000E-0001  7.73500000000000E+0003
 2.90000000000000E+0001  0.00000000000000E+0000  0.00000000000000E+0000  5.18500000000000E-0002  4.00000000000000E-0001  7.81300000000000E+0003
 3.30000000000000E+0001  0.00000000000000E+0000  0.00000000000000E+0000  5.21550000000000E-0002  4.00000000000000E-0001  7.87500000000000E+0003
 3.40000000000000E+0001  0.00000000000000E+0000  0.00000000000000E+0000  5.24600000000000E-0002  4.00000000000000E-0001  7.95400000000000E+0003
 3.20000000000000E+0001  0.00000000000000E+0000  0.00000000000000E+0000  5.30700000000000E-0002  4.00000000000000E-0001  8.01600000000000E+0003
 3.20000000000000E+0001  0.00000000000000E+0000  0.00000000000000E+0000  5.36800000000000E-0002  4.00000000000000E-0001  8.11000000000000E+0003
 2.80000000000000E+0001  0.00000000000000E+0000  0.00000000000000E+0000  5.45950000000000E-0002  4.00000000000000E-0001  8.21900000000000E+0003
 3.30000000000000E+0001  0.00000000000000E+0000  0.00000000000000E+0000  5.49000000000000E-0002  4.00000000000000E-0001  8.28200000000000E+0003
 3.30000000000000E+0001  0.00000000000000E+0000  0.00000000000000E+0000  5.55100000000000E-0002  4.00000000000000E-0001  8.36000000000000E+0003
 3.20000000000000E+0001  0.00000000000000E+0000  0.00000000000000E+0000  5.61200000000000E-0002  4.00000000000000E-0001  8.46900000000000E+0003
 3.30000000000000E+0001  0.00000000000000E+0000  0.00000000000000E+0000  5.67300000000000E-0002  4.00000000000000E-0001  8.56300000000000E+0003
 3.30000000000000E+0001  0.00000000000000E+0000  0.00000000000000E+0000  5.70350000000000E-0002  4.00000000000000E-0001  8.62500000000000E+0003
 3.30000000000000E+0001  0.00000000000000E+0000  0.00000000000000E+0000  5.76450000000000E-0002  4.00000000000000E-0001  8.68800000000000E+0003
 3.40000000000000E+0001  0.00000000000000E+0000  0.00000000000000E+0000  5.79500000000000E-0002  4.00000000000000E-0001  8.76600000000000E+0003
 3.30000000000000E+0001  0.00000000000000E+0000  0.00000000000000E+0000  5.85600000000000E-0002  3.99999700000000E-0001  8.86000000000000E+0003
 3.40000000000000E+0001  0.00000000000000E+0000  0.00000000000000E+0000  5.94750000000000E-0002  4.00000000000000E-0001  8.96900000000000E+0003
 3.40000000000000E+0001  0.00000000000000E+0000  0.00000000000000E+0000  5.97800000000000E-0002  3.99999700000000E-0001  9.03200000000000E+0003
